municipality,neighbourhood,origin,inhabitants
Amsterdam,Da Costabuurt,Bulgarije,16
Amsterdam,Da Costabuurt,Burkina Faso,2
Amsterdam,Da Costabuurt,Canada,20
Amsterdam,Da Costabuurt,Chili,7
Amsterdam,Da Costabuurt,China,15
Amsterdam,Da Costabuurt,Colombia,20
Amsterdam,Da Costabuurt,Congo (DR),2
Amsterdam,Da Costabuurt,Cuba,1
Amsterdam,Da Costabuurt,Cyprus,2
Amsterdam,Da Costabuurt,Denemarken,8
Amsterdam,Da Costabuurt,Dominicaanse Republiek,1
Amsterdam,Da Costabuurt,Duitsland,151
Amsterdam,Da Costabuurt,Egypte,20
Amsterdam,Da Costabuurt,Ethiopië,5
Amsterdam,Da Costabuurt,Filippijnen,6
Amsterdam,Da Costabuurt,Finland,8
Amsterdam,Da Costabuurt,Frankrijk,73
Amsterdam,Da Costabuurt,Gambia,2
Amsterdam,Da Costabuurt,Ghana,6
Amsterdam,Da Costabuurt,Gibraltar,1
Amsterdam,Da Costabuurt,Griekenland,22
Amsterdam,Da Costabuurt,Guatemala,1
Amsterdam,Da Costabuurt,Guyana,5
Amsterdam,Da Costabuurt,Honduras,2
Amsterdam,Da Costabuurt,Hongarije,19
Amsterdam,Da Costabuurt,Hongkong,10
Amsterdam,Da Costabuurt,Ierland,19
Amsterdam,Da Costabuurt,IJsland,1
Amsterdam,Da Costabuurt,India,14
Amsterdam,Da Costabuurt,Indonesië,164
Amsterdam,Da Costabuurt,Irak,8
Amsterdam,Da Costabuurt,Iran,12
Amsterdam,Da Costabuurt,Israël,26
Amsterdam,Da Costabuurt,Italië,66
Amsterdam,Da Costabuurt,Jamaica,3
Amsterdam,Da Costabuurt,Japan,9
Amsterdam,Da Costabuurt,Kenia,1
Amsterdam,Da Costabuurt,Libanon,2
Amsterdam,Da Costabuurt,Liberia,1
Amsterdam,Da Costabuurt,Luxemburg,4
Amsterdam,Da Costabuurt,Malawi,2
Amsterdam,Da Costabuurt,Maleisië,4
Amsterdam,Da Costabuurt,Malta,3
Amsterdam,Da Costabuurt,Marokko,128
Amsterdam,Da Costabuurt,Martinique,2
Amsterdam,Da Costabuurt,Mauritius,1
Amsterdam,Da Costabuurt,Mexico,8
Amsterdam,Da Costabuurt,Myanmar,1
Amsterdam,Da Costabuurt,Namibië,1
Amsterdam,Da Costabuurt,Ned. Antillen + Aruba,57
Amsterdam,Da Costabuurt,Nederland,2766
Amsterdam,Da Costabuurt,Nepal,9
Amsterdam,Da Costabuurt,Nieuw-Zeeland,8
Amsterdam,Da Costabuurt,Nigeria,7
Amsterdam,Da Costabuurt,Noorwegen,4
Amsterdam,Da Costabuurt,Oostenrijk,8
Amsterdam,Da Costabuurt,Pakistan,9
Amsterdam,Da Costabuurt,Peru,3
Amsterdam,Da Costabuurt,Polen,23
Amsterdam,Da Costabuurt,Portugal,16
Amsterdam,Da Costabuurt,Roemenië,25
Amsterdam,Da Costabuurt,Saoedi-Arabië,1
Amsterdam,Da Costabuurt,Senegal,2
Amsterdam,Da Costabuurt,Singapore,5
Amsterdam,Da Costabuurt,Somalië,11
Amsterdam,Da Costabuurt,Spanje,43
Amsterdam,Da Costabuurt,Sri Lanka,3
Amsterdam,Da Costabuurt,Suriname,137
Amsterdam,Da Costabuurt,Syrië,3
Amsterdam,Da Costabuurt,Taiwan,2
Amsterdam,Da Costabuurt,Thailand,8
Amsterdam,Da Costabuurt,Tunesië,5
Amsterdam,Da Costabuurt,Turkije,61
Amsterdam,Da Costabuurt,Uganda,1
Amsterdam,Da Costabuurt,Venezuela,2
Amsterdam,Da Costabuurt,Ver. Staten v. Amerika,119
Amsterdam,Da Costabuurt,Verenigd Koninkrijk,127
Amsterdam,Da Costabuurt,Vietnam,4
Amsterdam,Da Costabuurt,Voorm. Tsjecho-Slowakije,18
Amsterdam,Da Costabuurt,Voormalig Joegoslavië,40
Amsterdam,Da Costabuurt,Voormalig Sovjet-Unie,67
Amsterdam,Da Costabuurt,Zimbabwe,1
Amsterdam,Da Costabuurt,Zuid-Afrika,17
Amsterdam,Da Costabuurt,Zuid-Korea,5
Amsterdam,Da Costabuurt,Zweden,23
Amsterdam,Da Costabuurt,Zwitserland,10
Amsterdam,Dapperbuurt,Afghanistan,34
Amsterdam,Dapperbuurt,Albanië,1
Amsterdam,Dapperbuurt,Algerije,26
Amsterdam,Dapperbuurt,Angola,12
Amsterdam,Dapperbuurt,Argentinië,15
Amsterdam,Dapperbuurt,Australië,25
Amsterdam,Dapperbuurt,Bangladesh,1
Amsterdam,Dapperbuurt,Barbados,1
Amsterdam,Dapperbuurt,België,61
Amsterdam,Dapperbuurt,Bermuda,2
Amsterdam,Dapperbuurt,Bolivia,8
Amsterdam,Dapperbuurt,Brazilië,42
Amsterdam,Dapperbuurt,Bulgarije,19
Amsterdam,Dapperbuurt,Burkina Faso,3
Amsterdam,Dapperbuurt,Burundi,2
Amsterdam,Dapperbuurt,Canada,21
Amsterdam,Dapperbuurt,Chili,24
Amsterdam,Dapperbuurt,China,81
Amsterdam,Dapperbuurt,Colombia,24
Amsterdam,Dapperbuurt,Congo (DR),7
Amsterdam,Dapperbuurt,Costa Rica,2
Amsterdam,Dapperbuurt,Cuba,6
Amsterdam,Dapperbuurt,Cyprus,1
Amsterdam,Dapperbuurt,Denemarken,11
Amsterdam,Dapperbuurt,Dominicaanse Republiek,14
Amsterdam,Dapperbuurt,Duitsland,218
Amsterdam,Dapperbuurt,Ecuador,5
Amsterdam,Dapperbuurt,Egypte,73
Amsterdam,Dapperbuurt,El Salvador,1
Amsterdam,Dapperbuurt,Eritrea,5
Amsterdam,Dapperbuurt,Ethiopië,19
Amsterdam,Dapperbuurt,Filippijnen,19
Amsterdam,Dapperbuurt,Finland,9
Amsterdam,Dapperbuurt,Frankrijk,83
Amsterdam,Dapperbuurt,Frans Guyana,1
Amsterdam,Dapperbuurt,Gambia,5
Amsterdam,Dapperbuurt,Ghana,64
Amsterdam,Dapperbuurt,Gibraltar,1
Amsterdam,Dapperbuurt,Griekenland,23
Amsterdam,Dapperbuurt,Guatemala,3
Amsterdam,Dapperbuurt,Guinee,2
Amsterdam,Dapperbuurt,Guyana,17
Amsterdam,Dapperbuurt,Haïti,2
Amsterdam,Dapperbuurt,Honduras,3
Amsterdam,Dapperbuurt,Hongarije,24
Amsterdam,Dapperbuurt,Hongkong,38
Amsterdam,Dapperbuurt,Ierland,10
Amsterdam,Dapperbuurt,IJsland,2
Amsterdam,Dapperbuurt,India,64
Amsterdam,Dapperbuurt,Indonesië,256
Amsterdam,Dapperbuurt,Irak,18
Amsterdam,Dapperbuurt,Iran,35
Amsterdam,Dapperbuurt,Israël,22
Amsterdam,Dapperbuurt,Italië,113
Amsterdam,Dapperbuurt,Ivoorkust,11
Amsterdam,Dapperbuurt,Japan,23
Amsterdam,Dapperbuurt,Jemen,3
Amsterdam,Dapperbuurt,Jordanië,1
Amsterdam,Dapperbuurt,Kaapverdië,16
Amsterdam,Dapperbuurt,Kameroen,8
Amsterdam,Dapperbuurt,Kenia,7
Amsterdam,Dapperbuurt,Koeweit,2
Amsterdam,Dapperbuurt,Libanon,4
Amsterdam,Dapperbuurt,Liberia,10
Amsterdam,Dapperbuurt,Libië,2
Amsterdam,Dapperbuurt,Luxemburg,2
Amsterdam,Dapperbuurt,Maleisië,9
Amsterdam,Dapperbuurt,Mali,10
Amsterdam,Dapperbuurt,Malta,1
Amsterdam,Dapperbuurt,Marokko,1118
Amsterdam,Dapperbuurt,Mauritius,6
Amsterdam,Dapperbuurt,Mexico,18
Amsterdam,Dapperbuurt,Mozambique,1
Amsterdam,Dapperbuurt,Namibië,2
Amsterdam,Dapperbuurt,Ned. Antillen + Aruba,115
Amsterdam,Dapperbuurt,Nederland,4731
Amsterdam,Dapperbuurt,Nepal,5
Amsterdam,Dapperbuurt,Nieuw-Caledonië,1
Amsterdam,Dapperbuurt,Nieuw-Zeeland,16
Amsterdam,Dapperbuurt,Nigeria,9
Amsterdam,Dapperbuurt,Noorwegen,6
Amsterdam,Dapperbuurt,Oman,2
Amsterdam,Dapperbuurt,Oostenrijk,7
Amsterdam,Dapperbuurt,Pakistan,68
Amsterdam,Dapperbuurt,Panama,4
Amsterdam,Dapperbuurt,Peru,14
Amsterdam,Dapperbuurt,Polen,50
Amsterdam,Dapperbuurt,Portugal,34
Amsterdam,Dapperbuurt,Puerto Rico,1
Amsterdam,Dapperbuurt,Roemenië,21
Amsterdam,Dapperbuurt,Rwanda,1
Amsterdam,Dapperbuurt,Saoedi-Arabië,6
Amsterdam,Dapperbuurt,Senegal,3
Amsterdam,Dapperbuurt,Sierra Leone,4
Amsterdam,Dapperbuurt,Singapore,5
Amsterdam,Dapperbuurt,Soedan,5
Amsterdam,Dapperbuurt,Somalië,15
Amsterdam,Dapperbuurt,Spanje,65
Amsterdam,Dapperbuurt,Sri Lanka,4
Amsterdam,Dapperbuurt,Suriname,783
Amsterdam,Dapperbuurt,Syrië,44
Amsterdam,Dapperbuurt,Taiwan,4
Amsterdam,Dapperbuurt,Tanzania,1
Amsterdam,Dapperbuurt,Thailand,11
Amsterdam,Dapperbuurt,Togo,7
Amsterdam,Dapperbuurt,Trinidad en Tobago,1
Amsterdam,Dapperbuurt,Tsjaad,1
Amsterdam,Dapperbuurt,Tunesië,19
Amsterdam,Dapperbuurt,Turkije,654
Amsterdam,Dapperbuurt,Uganda,11
Amsterdam,Dapperbuurt,Uruguay,1
Amsterdam,Dapperbuurt,Venezuela,8
Amsterdam,Dapperbuurt,Ver. Arabische Emiraten,1
Amsterdam,Dapperbuurt,Ver. Staten v. Amerika,78
Amsterdam,Dapperbuurt,Verenigd Koninkrijk,123
Amsterdam,Dapperbuurt,Vietnam,5
Amsterdam,Dapperbuurt,Voorm. Tsjecho-Slowakije,25
Amsterdam,Dapperbuurt,Voormalig Joegoslavië,105
Amsterdam,Dapperbuurt,Voormalig Sovjet-Unie,105
Amsterdam,Dapperbuurt,Zimbabwe,1
Amsterdam,Dapperbuurt,Zuid-Afrika,14
Amsterdam,Dapperbuurt,Zuid-Korea,5
Amsterdam,Dapperbuurt,Zweden,20
Amsterdam,Dapperbuurt,Zwitserland,17
Amsterdam,De Kolenkit,Afghanistan,54
Amsterdam,De Kolenkit,Albanië,6
Amsterdam,De Kolenkit,Algerije,24
Amsterdam,De Kolenkit,Angola,7
Amsterdam,De Kolenkit,Argentinië,6
Amsterdam,De Kolenkit,Australië,5
Amsterdam,De Kolenkit,Bangladesh,4
Amsterdam,De Kolenkit,België,47
Amsterdam,De Kolenkit,Benin,1
Amsterdam,De Kolenkit,Bhutan,5
Amsterdam,De Kolenkit,Bolivia,1
Amsterdam,De Kolenkit,Brazilië,42
Amsterdam,De Kolenkit,Brunei,1
Amsterdam,De Kolenkit,Bulgarije,60
Amsterdam,De Kolenkit,Canada,15
Amsterdam,De Kolenkit,Chili,11
Amsterdam,De Kolenkit,China,86
Amsterdam,De Kolenkit,Colombia,26
Amsterdam,De Kolenkit,Congo,2
Amsterdam,De Kolenkit,Congo (DR),1
Amsterdam,De Kolenkit,Costa Rica,1
Amsterdam,De Kolenkit,Denemarken,12
Amsterdam,De Kolenkit,Dominicaanse Republiek,14
Amsterdam,De Kolenkit,Duitsland,157
Amsterdam,De Kolenkit,Ecuador,6
Amsterdam,De Kolenkit,Egypte,70
Amsterdam,De Kolenkit,Eritrea,12
Amsterdam,De Kolenkit,Ethiopië,32
Amsterdam,De Kolenkit,Filippijnen,26
Amsterdam,De Kolenkit,Finland,11
Amsterdam,De Kolenkit,Frankrijk,64
Amsterdam,De Kolenkit,Frans Guyana,3
Amsterdam,De Kolenkit,Frans-Polynesië,1
Amsterdam,De Kolenkit,Ghana,52
Amsterdam,De Kolenkit,Griekenland,39
Amsterdam,De Kolenkit,Guadeloupe,2
Amsterdam,De Kolenkit,Guatemala,1
Amsterdam,De Kolenkit,Guyana,6
Amsterdam,De Kolenkit,Haïti,1
Amsterdam,De Kolenkit,Hongarije,21
Amsterdam,De Kolenkit,Hongkong,12
Amsterdam,De Kolenkit,Ierland,15
Amsterdam,De Kolenkit,IJsland,1
Amsterdam,De Kolenkit,India,59
Amsterdam,De Kolenkit,Indonesië,188
Amsterdam,De Kolenkit,Irak,59
Amsterdam,De Kolenkit,Iran,32
Amsterdam,De Kolenkit,Israël,10
Amsterdam,De Kolenkit,Italië,106
Amsterdam,De Kolenkit,Ivoorkust,3
Amsterdam,De Kolenkit,Jamaica,3
Amsterdam,De Kolenkit,Japan,13
Amsterdam,De Kolenkit,Jordanië,2
Amsterdam,De Kolenkit,Kaapverdië,12
Amsterdam,De Kolenkit,Kameroen,3
Amsterdam,De Kolenkit,Kenia,7
Amsterdam,De Kolenkit,Lesotho,1
Amsterdam,De Kolenkit,Libanon,18
Amsterdam,De Kolenkit,Liberia,4
Amsterdam,De Kolenkit,Luxemburg,4
Amsterdam,De Kolenkit,Malawi,4
Amsterdam,De Kolenkit,Maleisië,6
Amsterdam,De Kolenkit,Marokko,2747
Amsterdam,De Kolenkit,Mexico,6
Amsterdam,De Kolenkit,Mongolië,1
Amsterdam,De Kolenkit,Mozambique,1
Amsterdam,De Kolenkit,Myanmar,5
Amsterdam,De Kolenkit,Ned. Antillen + Aruba,116
Amsterdam,De Kolenkit,Nederland,2766
Amsterdam,De Kolenkit,Nepal,6
Amsterdam,De Kolenkit,Nieuw-Zeeland,4
Amsterdam,De Kolenkit,Nigeria,24
Amsterdam,De Kolenkit,Noorwegen,7
Amsterdam,De Kolenkit,Oostenrijk,9
Amsterdam,De Kolenkit,Pakistan,82
Amsterdam,De Kolenkit,Panama,1
Amsterdam,De Kolenkit,Papoea-Nieuw-Guinea,1
Amsterdam,De Kolenkit,Peru,11
Amsterdam,De Kolenkit,Polen,52
Amsterdam,De Kolenkit,Portugal,35
Amsterdam,De Kolenkit,Roemenië,20
Amsterdam,De Kolenkit,Rwanda,6
Amsterdam,De Kolenkit,Saoedi-Arabië,2
Amsterdam,De Kolenkit,Senegal,1
Amsterdam,De Kolenkit,Sierra Leone,4
Amsterdam,De Kolenkit,Singapore,3
Amsterdam,De Kolenkit,Soedan,8
Amsterdam,De Kolenkit,Somalië,19
Amsterdam,De Kolenkit,Spanje,42
Amsterdam,De Kolenkit,Sri Lanka,6
Amsterdam,De Kolenkit,Suriname,541
Amsterdam,De Kolenkit,Syrië,52
Amsterdam,De Kolenkit,Taiwan,5
Amsterdam,De Kolenkit,Thailand,12
Amsterdam,De Kolenkit,Togo,2
Amsterdam,De Kolenkit,Tunesië,20
Amsterdam,De Kolenkit,Turkije,1563
Amsterdam,De Kolenkit,Uganda,3
Amsterdam,De Kolenkit,Uruguay,1
Amsterdam,De Kolenkit,Venezuela,13
Amsterdam,De Kolenkit,Ver. Arabische Emiraten,1
Amsterdam,De Kolenkit,Ver. Staten v. Amerika,47
Amsterdam,De Kolenkit,Verenigd Koninkrijk,78
Amsterdam,De Kolenkit,Vietnam,7
Amsterdam,De Kolenkit,Voorm. Tsjecho-Slowakije,19
Amsterdam,De Kolenkit,Voormalig Joegoslavië,90
Amsterdam,De Kolenkit,Voormalig Sovjet-Unie,82
Amsterdam,De Kolenkit,Zambia,1
Amsterdam,De Kolenkit,Zimbabwe,1
Amsterdam,De Kolenkit,Zuid-Afrika,22
Amsterdam,De Kolenkit,Zuid-Korea,8
Amsterdam,De Kolenkit,Zweden,11
Amsterdam,De Kolenkit,Zwitserland,16
Amsterdam,De Punt,Afghanistan,27
Amsterdam,De Punt,Albanië,5
Amsterdam,De Punt,Algerije,17
Amsterdam,De Punt,Angola,10
Amsterdam,De Punt,Argentinië,1
Amsterdam,De Punt,Australië,1
Amsterdam,De Punt,Bangladesh,19
Amsterdam,De Punt,België,25
Amsterdam,De Punt,Bolivia,2
Amsterdam,De Punt,Brazilië,28
Amsterdam,De Punt,Bulgarije,179
Amsterdam,De Punt,Burundi,1
Amsterdam,De Punt,Canada,1
Amsterdam,De Punt,Centraal-Afrikaanse Rep.,1
Amsterdam,De Punt,China,35
Amsterdam,De Punt,Colombia,16
Amsterdam,De Punt,Congo,4
Amsterdam,De Punt,Congo (DR),1
Amsterdam,De Punt,Cuba,2
Amsterdam,De Punt,Cyprus,2
Amsterdam,De Punt,Denemarken,2
Amsterdam,De Punt,Dominicaanse Republiek,28
Amsterdam,De Punt,Duitsland,92
Amsterdam,De Punt,Ecuador,5
Amsterdam,De Punt,Egypte,84
Amsterdam,De Punt,Ethiopië,9
Amsterdam,De Punt,Filippijnen,37
Amsterdam,De Punt,Finland,3
Amsterdam,De Punt,Frankrijk,28
Amsterdam,De Punt,Gambia,1
Amsterdam,De Punt,Ghana,39
Amsterdam,De Punt,Griekenland,24
Amsterdam,De Punt,Guatemala,3
Amsterdam,De Punt,Guyana,5
Amsterdam,De Punt,Hongarije,16
Amsterdam,De Punt,Hongkong,19
Amsterdam,De Punt,Ierland,12
Amsterdam,De Punt,India,74
Amsterdam,De Punt,Indonesië,219
Amsterdam,De Punt,Irak,32
Amsterdam,De Punt,Iran,37
Amsterdam,De Punt,Israël,4
Amsterdam,De Punt,Italië,39
Amsterdam,De Punt,Jamaica,5
Amsterdam,De Punt,Japan,2
Amsterdam,De Punt,Jordanië,1
Amsterdam,De Punt,Kaapverdië,9
Amsterdam,De Punt,Kenia,3
Amsterdam,De Punt,Libanon,11
Amsterdam,De Punt,Liberia,1
Amsterdam,De Punt,Maleisië,3
Amsterdam,De Punt,Marokko,1063
Amsterdam,De Punt,Mauritius,3
Amsterdam,De Punt,Mexico,4
Amsterdam,De Punt,Mongolië,2
Amsterdam,De Punt,Ned. Antillen + Aruba,72
Amsterdam,De Punt,Nederland,1852
Amsterdam,De Punt,Nepal,13
Amsterdam,De Punt,Nieuw-Zeeland,3
Amsterdam,De Punt,Nigeria,4
Amsterdam,De Punt,Noorwegen,3
Amsterdam,De Punt,Oostenrijk,4
Amsterdam,De Punt,Pakistan,69
Amsterdam,De Punt,Peru,12
Amsterdam,De Punt,Polen,31
Amsterdam,De Punt,Portugal,26
Amsterdam,De Punt,Roemenië,34
Amsterdam,De Punt,Rwanda,3
Amsterdam,De Punt,Senegal,2
Amsterdam,De Punt,Soedan,4
Amsterdam,De Punt,Somalië,13
Amsterdam,De Punt,Spanje,29
Amsterdam,De Punt,Sri Lanka,6
Amsterdam,De Punt,Suriname,492
Amsterdam,De Punt,Syrië,21
Amsterdam,De Punt,Thailand,6
Amsterdam,De Punt,Togo,6
Amsterdam,De Punt,Trinidad en Tobago,2
Amsterdam,De Punt,Tunesië,12
Amsterdam,De Punt,Turkije,881
Amsterdam,De Punt,Venezuela,9
Amsterdam,De Punt,Ver. Staten v. Amerika,8
Amsterdam,De Punt,Verenigd Koninkrijk,25
Amsterdam,De Punt,Vietnam,6
Amsterdam,De Punt,Voorm. Tsjecho-Slowakije,5
Amsterdam,De Punt,Voormalig Joegoslavië,52
Amsterdam,De Punt,Voormalig Sovjet-Unie,51
Amsterdam,De Punt,Zambia,4
Amsterdam,De Punt,Zuid-Afrika,7
Amsterdam,De Punt,Zuid-Korea,2
Amsterdam,De Punt,Zweden,2
Amsterdam,De Punt,Zwitserland,3
Amsterdam,De Weteringschans,Afghanistan,1
Amsterdam,De Weteringschans,Albanië,2
Amsterdam,De Weteringschans,Angola,2
Amsterdam,De Weteringschans,Argentinië,17
Amsterdam,De Weteringschans,Australië,53
Amsterdam,De Weteringschans,Bahrein,1
Amsterdam,De Weteringschans,Bangladesh,1
Amsterdam,De Weteringschans,België,71
Amsterdam,De Weteringschans,Bolivia,1
Amsterdam,De Weteringschans,Brazilië,59
Amsterdam,De Weteringschans,Bulgarije,27
Amsterdam,De Weteringschans,Burundi,2
Amsterdam,De Weteringschans,Canada,34
Amsterdam,De Weteringschans,Chili,5
Amsterdam,De Weteringschans,China,35
Amsterdam,De Weteringschans,Colombia,24
Amsterdam,De Weteringschans,Congo (DR),1
Amsterdam,De Weteringschans,Costa Rica,2
Amsterdam,De Weteringschans,Cuba,2
Amsterdam,De Weteringschans,Cyprus,3
Amsterdam,De Weteringschans,Denemarken,15
Amsterdam,De Weteringschans,Dominicaanse Republiek,5
Amsterdam,De Weteringschans,Duitsland,213
Amsterdam,De Weteringschans,Ecuador,12
Amsterdam,De Weteringschans,Egypte,32
Amsterdam,De Weteringschans,El Salvador,1
Amsterdam,De Weteringschans,Ethiopië,7
Amsterdam,De Weteringschans,Fiji,1
Amsterdam,De Weteringschans,Filippijnen,17
Amsterdam,De Weteringschans,Finland,25
Amsterdam,De Weteringschans,Frankrijk,134
Amsterdam,De Weteringschans,Frans Guyana,1
Amsterdam,De Weteringschans,Gabon,1
Amsterdam,De Weteringschans,Ghana,8
Amsterdam,De Weteringschans,Griekenland,40
Amsterdam,De Weteringschans,Guadeloupe,1
Amsterdam,De Weteringschans,Guatemala,5
Amsterdam,De Weteringschans,Honduras,1
Amsterdam,De Weteringschans,Hongarije,12
Amsterdam,De Weteringschans,Hongkong,9
Amsterdam,De Weteringschans,Ierland,29
Amsterdam,De Weteringschans,IJsland,1
Amsterdam,De Weteringschans,India,44
Amsterdam,De Weteringschans,Indonesië,286
Amsterdam,De Weteringschans,Irak,15
Amsterdam,De Weteringschans,Iran,10
Amsterdam,De Weteringschans,Israël,40
Amsterdam,De Weteringschans,Italië,126
Amsterdam,De Weteringschans,Ivoorkust,2
Amsterdam,De Weteringschans,Jamaica,7
Amsterdam,De Weteringschans,Japan,20
Amsterdam,De Weteringschans,Jordanië,1
Amsterdam,De Weteringschans,Kaapverdië,2
Amsterdam,De Weteringschans,Kenia,7
Amsterdam,De Weteringschans,Koeweit,3
Amsterdam,De Weteringschans,Libanon,7
Amsterdam,De Weteringschans,Liberia,1
Amsterdam,De Weteringschans,Luxemburg,3
Amsterdam,De Weteringschans,Maleisië,9
Amsterdam,De Weteringschans,Mali,2
Amsterdam,De Weteringschans,Marokko,53
Amsterdam,De Weteringschans,Mexico,27
Amsterdam,De Weteringschans,Mozambique,2
Amsterdam,De Weteringschans,Myanmar,1
Amsterdam,De Weteringschans,Ned. Antillen + Aruba,68
Amsterdam,De Weteringschans,Nederland,4268
Amsterdam,De Weteringschans,Nepal,4
Amsterdam,De Weteringschans,Nieuw-Zeeland,18
Amsterdam,De Weteringschans,Nigeria,4
Amsterdam,De Weteringschans,Noorwegen,15
Amsterdam,De Weteringschans,Oostenrijk,17
Amsterdam,De Weteringschans,Pakistan,5
Amsterdam,De Weteringschans,Paraguay,1
Amsterdam,De Weteringschans,Peru,9
Amsterdam,De Weteringschans,Polen,46
Amsterdam,De Weteringschans,Portugal,21
Amsterdam,De Weteringschans,Puerto Rico,3
Amsterdam,De Weteringschans,Roemenië,39
Amsterdam,De Weteringschans,Rwanda,2
Amsterdam,De Weteringschans,Saoedi-Arabië,3
Amsterdam,De Weteringschans,Senegal,3
Amsterdam,De Weteringschans,Singapore,16
Amsterdam,De Weteringschans,Soedan,2
Amsterdam,De Weteringschans,Spanje,76
Amsterdam,De Weteringschans,Sri Lanka,2
Amsterdam,De Weteringschans,Suriname,97
Amsterdam,De Weteringschans,Syrië,4
Amsterdam,De Weteringschans,Taiwan,4
Amsterdam,De Weteringschans,Tanzania,4
Amsterdam,De Weteringschans,Thailand,12
Amsterdam,De Weteringschans,Trinidad en Tobago,1
Amsterdam,De Weteringschans,Tunesië,9
Amsterdam,De Weteringschans,Turkije,72
Amsterdam,De Weteringschans,Uganda,1
Amsterdam,De Weteringschans,Uruguay,6
Amsterdam,De Weteringschans,Venezuela,10
Amsterdam,De Weteringschans,Ver. Staten v. Amerika,249
Amsterdam,De Weteringschans,Verenigd Koninkrijk,257
Amsterdam,De Weteringschans,Vietnam,8
Amsterdam,De Weteringschans,Voorm. Tsjecho-Slowakije,21
Amsterdam,De Weteringschans,Voormalig Joegoslavië,39
Amsterdam,De Weteringschans,Voormalig Sovjet-Unie,113
Amsterdam,De Weteringschans,Zambia,1
Amsterdam,De Weteringschans,Zimbabwe,3
Amsterdam,De Weteringschans,Zuid-Afrika,51
Amsterdam,De Weteringschans,Zuid-Korea,11
Amsterdam,De Weteringschans,Zweden,26
Amsterdam,De Weteringschans,Zwitserland,35
Amsterdam,Driemond,Australië,3
Amsterdam,Driemond,België,8
Amsterdam,Driemond,Denemarken,1
Amsterdam,Driemond,Duitsland,36
Amsterdam,Driemond,Ecuador,2
Amsterdam,Driemond,Egypte,3
Amsterdam,Driemond,Ethiopië,3
Amsterdam,Driemond,Filippijnen,2
Amsterdam,Driemond,Frankrijk,5
Amsterdam,Driemond,Griekenland,1
Amsterdam,Driemond,Guyana,1
Amsterdam,Driemond,Hongarije,2
Amsterdam,Driemond,India,1
Amsterdam,Driemond,Indonesië,42
Amsterdam,Driemond,Italië,9
Amsterdam,Driemond,Japan,2
Amsterdam,Driemond,Liberia,1
Amsterdam,Driemond,Marokko,15
Amsterdam,Driemond,Mexico,1
Amsterdam,Driemond,Ned. Antillen + Aruba,16
Amsterdam,Driemond,Nederland,1262
Amsterdam,Driemond,Pakistan,1
Amsterdam,Driemond,Polen,10
Amsterdam,Driemond,Portugal,1
Amsterdam,Driemond,Roemenië,6
Amsterdam,Driemond,Singapore,1
Amsterdam,Driemond,Spanje,1
Amsterdam,Driemond,Suriname,78
Amsterdam,Driemond,Thailand,2
Amsterdam,Driemond,Trinidad en Tobago,1
Amsterdam,Driemond,Turkije,7
Amsterdam,Driemond,Ver. Staten v. Amerika,4
Amsterdam,Driemond,Verenigd Koninkrijk,11
Amsterdam,Driemond,Voorm. Tsjecho-Slowakije,3
Amsterdam,Driemond,Voormalig Joegoslavië,1
Amsterdam,Driemond,Voormalig Sovjet-Unie,1
Amsterdam,Driemond,Zimbabwe,2
Amsterdam,Driemond,Zuid-Korea,2
Amsterdam,Eendracht,Afghanistan,11
Amsterdam,Eendracht,Albanië,1
Amsterdam,Eendracht,Argentinië,2
Amsterdam,Eendracht,Australië,1
Amsterdam,Eendracht,Bangladesh,3
Amsterdam,Eendracht,België,9
Amsterdam,Eendracht,Bolivia,3
Amsterdam,Eendracht,Brazilië,5
Amsterdam,Eendracht,Bulgarije,65
Amsterdam,Eendracht,Canada,1
Amsterdam,Eendracht,China,24
Amsterdam,Eendracht,Colombia,1
Amsterdam,Eendracht,Denemarken,1
Amsterdam,Eendracht,Dominicaanse Republiek,1
Amsterdam,Eendracht,Duitsland,32
Amsterdam,Eendracht,Egypte,23
Amsterdam,Eendracht,Ethiopië,1
Amsterdam,Eendracht,Filippijnen,9
Amsterdam,Eendracht,Finland,1
Amsterdam,Eendracht,Frankrijk,9
Amsterdam,Eendracht,Ghana,4
Amsterdam,Eendracht,Guyana,1
Amsterdam,Eendracht,Haïti,1
Amsterdam,Eendracht,Hongarije,3
Amsterdam,Eendracht,Hongkong,16
Amsterdam,Eendracht,Ierland,3
Amsterdam,Eendracht,India,10
Amsterdam,Eendracht,Indonesië,81
Amsterdam,Eendracht,Irak,4
Amsterdam,Eendracht,Iran,2
Amsterdam,Eendracht,Israël,4
Amsterdam,Eendracht,Italië,14
Amsterdam,Eendracht,Japan,2
Amsterdam,Eendracht,Jordanië,7
Amsterdam,Eendracht,Katar,1
Amsterdam,Eendracht,Koeweit,1
Amsterdam,Eendracht,Libanon,15
Amsterdam,Eendracht,Maleisië,1
Amsterdam,Eendracht,Marokko,305
Amsterdam,Eendracht,Mexico,3
Amsterdam,Eendracht,Ned. Antillen + Aruba,30
Amsterdam,Eendracht,Nederland,1028
Amsterdam,Eendracht,Nepal,1
Amsterdam,Eendracht,Nigeria,2
Amsterdam,Eendracht,Pakistan,33
Amsterdam,Eendracht,Peru,2
Amsterdam,Eendracht,Polen,11
Amsterdam,Eendracht,Portugal,29
Amsterdam,Eendracht,Roemenië,14
